boq_section,item_code,item_name,unit,quantity,quantity_status,confidence,package,source_evidence,notes
F - Finishes,,Skirting Board,lm,88.3,calculated,MEDIUM,finishes_trim,ext_walls: 38.40 m [dxf_geometry]; int_walls: 29.40 m [dxf_geometry],"Skirting = external wall interior face + both faces of internal partitions, minus door opening widths. Door gap deductions: ext_doors=0.920 m (DOOR_90×1); int_doors_×2f=8.000 m (DOOR_82×4, DOOR_72×1). Gross=97.2 m → net=88.3 m. "
F - Finishes,,Floor Finish — Dry Area (vinyl plank / screed),m2,60.3,calculated,MEDIUM,finishes,"config room_schedule: Dispensary, Waiting / Reception, Consultation Room, Staff Room, Storage = 60.30 m² (enclosed=64.80 m²)",Dry floor finish area from room schedule (5 rooms). Verandah (21.6 m²) excluded — has separate decking row. Verify room areas from architectural drawings.
F - Finishes,,Floor Finish — Wet Area (ceramic tile),m2,4.5,calculated,MEDIUM,finishes,config room_schedule: Toilet = 4.50 m²,Wet floor finish (ceramic tile / non-slip) for wet areas: Toilet (4.50 m²). Verify with architect.
F - Finishes,,Paint — External,m2,92.16,calculated,MEDIUM,finishes,dxf_geometry: ext_wall_lm=38.40 × h=2.4,Gross area; no deduction for openings.
F - Finishes,,Paint — Internal,m2,205.92,calculated,MEDIUM,finishes,ceiling_area=64.80 m²; int_wall_lm=29.40 m × 2 faces [dxf_geometry],Both faces of internal partitions included. 
A - Structural Frame,,Roof Panel Frame (purlin / roof panel 89S41),lm,481.74,measured,HIGH,structural_frame,framecad_bom: Tab Roof Panels,
A - Structural Frame,,Roof Truss Frame (truss chord + web 89S41),lm,1634.29,measured,HIGH,structural_frame,framecad_bom: Tab Roof Trusses,"QA NOTE: FrameCAD BOM 'Roof Trusses' tab total includes all roof structural members (truss chords, webs, purlin/rafter runs). This is the correct procurement quantity. An assembled-frame-count comparison will show a lower lm figure — the difference is expected and not a data error."
A - Structural Frame,,Wall Frame — all wall members 89S41,lm,2250.69,measured,HIGH,structural_frame,framecad_bom: Tab Wall Panels,
A - Structural Frame,,Wall Frame — lintel 150×32×0.95,lm,3.57,measured,HIGH,structural_frame,framecad_bom: Lintel entries,
A - Structural Frame,,Wall Frame — diagonal strap 32×0.95,lm,49.73,measured,HIGH,structural_frame,framecad_bom: Strap entries,
