package_code,boq_section,item_name,item_display_name,unit,quantity,confidence,manual_review,source_evidence,notes
50106,F - Finishes,Skirting Board,Timber Skirting | 25 x 75 x 2400mm Timber,lm,97.2,MEDIUM,,ext_walls: 38.40 m [dxf_geometry]; int_walls: 29.40 m [dxf_geometry],Skirting = external wall interior face + both faces of internal partitions. 
50106,F - Finishes,Floor Finish — Dry Area (vinyl plank / screed),Floor Finish | (type by room),m2,60.3,MEDIUM,,"config room_schedule: Dispensary, Waiting / Reception, Consultation Room, Staff Room, Storage = 60.3",Dry floor finish area from room schedule (5 rooms). Verandah (21.6 m²) excluded 
50106,F - Finishes,Floor Finish — Wet Area (ceramic tile),Floor Finish | (type by room),m2,4.5,MEDIUM,,config room_schedule: Toilet = 4.50 m²,Wet floor finish (ceramic tile / non-slip) for wet areas: Toilet (4.50 m²). Veri
50106,F - Finishes,Paint — External,"Paint | External, two coats",m2,92.16,MEDIUM,,dxf_geometry: ext_wall_lm=38.40 × h=2.4,Gross area; no deduction for openings.
50106,F - Finishes,Paint — Internal,"Paint | Internal, two coats",m2,205.92,MEDIUM,,ceiling_area=64.80 m²; int_wall_lm=29.40 m × 2 faces [dxf_geometry],Both faces of internal partitions included. 
50107,A - Structural Frame,Roof Panel Frame (purlin / roof panel 89S41),"FrameCAD Roof Panel | LGS C89, 0.75BMT, G550, Z275",lm,481.74,HIGH,,framecad_bom: Tab Roof Panels,
50107,A - Structural Frame,Roof Truss Frame (truss chord + web 89S41),"FrameCAD Roof Truss | LGS C89, 0.75BMT, G550, Z275",lm,1634.29,HIGH,,framecad_bom: Tab Roof Trusses,QA NOTE: FrameCAD BOM 'Roof Trusses' tab total includes all roof structural memb
50107,A - Structural Frame,Wall Frame — all wall members 89S41,"FrameCAD Wall Frame | LGS C89, all wall members",lm,2250.69,HIGH,,framecad_bom: Tab Wall Panels,
50107,A - Structural Frame,Wall Frame — lintel 150×32×0.95,"FrameCAD Lintel | LGS, lintel members",lm,3.57,HIGH,,framecad_bom: Lintel entries,
50107,A - Structural Frame,Wall Frame — diagonal strap 32×0.95,FrameCAD Wall Strap | Diagonal strap brace,lm,49.73,HIGH,,framecad_bom: Strap entries,
50107,A - Structural Frame,Verandah Frame — 89S41,External Works | Verandah Frame,lm,69.91,HIGH,,ifc_model: V1/verandah members,
50107,A - Structural Frame,Structural Steel Post (75×75×4 SHS),"Steel Post | 75 x 4mm SHS, Q345, HDG600",lm,96.69,HIGH,,ifc_model: SHS steel,
50107,A - Structural Frame,Roof Battens (FRAMECAD BATTEN — all zones),"Roof Batten | 41mm Top Hat, G550, Z275",lm,1385.3,HIGH,,framecad_bom: FrameCAD BATTEN entries,BOM total 266 pieces (1385.3 lm) — all batten zones. Grade split: ≥35mm (roof to
50107,A - Structural Frame,Ceiling/Wall Batten G22 × 4800mm,Ceiling Batten | G22,nr,176,LOW,,framecad_bom: BATTEN 22 176 4800,Ceiling/wall batten (grade 22mm <35mm threshold). 4800mm stock length. Total: 84
